,nome,ativo,classes,documento,classe_pred
261,cloridrato-de-metilfenidato,Cloridrato de metilfenidato,"Comprimido, Retenção - só pode ser vendido com retenção de receita, Genéricos","cloridrato de metilfenidato é utilizado para o tratamento do Transtorno de Déficit de Atenção/Hiperatividade. O Transtorno de Déficit de Atenção/Hiperatividade (TDAH) ou Transtorno hipercinético é um distúrbio de comportamento em crianças e adolescentes. Cerca de 3% das crianças sofrem deste transtorno, o que as torna incapazes de ficarem paradas e/ou se concentrar em tarefas por um determinado período de tempo. As crianças com esse transtorno podem ter dificuldades para aprender e fazer tarefas escolares. Elas podem frequentemente se tornar difícil de lidar, tanto na escola quanto em casa. Adultos com TDAH frequentemente têm dificuldade de se concentrar. Costumam se sentir inquietos, impacientes, desatentos e ficam entediados com facilidade. Podem ter dificuldades em organizar sua vida pessoal e trabalho. Se o paciente é uma criança ou se você for um adolescente, o médico prescreveu cloridrato de metilfenidato como parte de um programa de tratamento de TDAH, o qual incluirá também, usualmente, terapia psicológica, educacional e social. Se você tem alguma dúvida sobre como funciona cloridrato de metilfenidato ou porque este medicamento foi receitado para você, pergunte ao seu médico. Cloridrato de metilfenidato também é utilizado para o tratamento da narcolepsia. A narcolepsia é um distúrbio do sono. Pacientes com narcolepsia vivenciam repetidos ataques de sonolência durante o dia, mesmo após uma noite adequada de sono. A narcolepsia deve ser diagnosticada por um médico através do padrão registrado de sono-vigília.",0
245,tamisa-sem-parar,gestodeno + etinilestradiol,"Drágea, Anticoncepcionais, Venda sob prescrição médica, Prescrição Médica",Tâmisa® 30 Sem Parar (gestodeno + etinilestradiol) é um contraceptivo oral de uso contínuo indicado para prevenção da gravidez.,0
242,esio,esomeprazol sódico,"Suspensão Injetável, Antiácidos e Antiulcerosos Associados, Venda sob prescrição médica, Hospitalar","Ésio® (esomeprazol sódico) é indicado como uma alternativa, quando a terapia oral não é apropriada. A terapia intravenosa deve ser realizada apenas como uma parte do período de tratamento completo para as seguintes indicações: • Doença do Refluxo Gastroesofágico (DRGE): doença que apresenta sintomas como azia, dor epigástrica (na boca do estômago) e regurgitação ácida, causada pelo retorno do conteúdo ácido do estômago para a garganta. • Ésio® (esomeprazol sódico) também é indicado para prevenção de úlceras gástricas (lesões no estômago) e duodenais (na parte superior do intestino) em pacientes de risco. São considerados pacientes de risco: pacientes com idade acima de 60 anos; pacientes com desordens gástricas previamente documentadas; pacientes em uso concomitante de anticoagulantes (medicamentos para prevenir a formação de trombos sanguíneos) e/ou esteróides (medicamentos com ação anti-inflamatória e antialérgica); pacientes em uso de altas doses de anti-inflamatórios não-esteroidais (AINEs) ou de múltiplos AINEs. • Manutenção a curto prazo de hemostasia (fluidez do sangue nos vasos sanguíneos) e prevenção de ressangramento em pacientes com úlceras hemorrágicas gástricas ou duodenais após terapia endoscópica (exame que investiga doenças do esôfago, estomago e intestinos).",0
97,prysma,eszopiclona,"Hipnóticos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica, Comprimido revestido",Prysma® (eszopiclona) é indicado para o tratamento de insônia em adultos.,0
241,succinato-de-desvenlafaxina-monoidratado,succinato de desvenlafaxina monoidratado,"Comprimido Revestido de Liberação Prolongada, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  O succinato de desvenlafaxina monoidratado é indicado para tratamento do transtorno depressivo maior (TDM, estado de profunda e persistente infelicidade ou tristeza acompanhado de uma perda completa do interesse pelas atividades diárias normais). O succinato de desvenlafaxina monoidratado não é indicado para uso em nenhuma população pediátrica.",0
99,oxalato-de-escitalopram-solucao-oral,"escitalopram, oxalato de","Solução Gotas, Retenção - só pode ser vendido com retenção de receita, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  Oxalato de escitalopram é indicado para: • Tratamento e prevenção da recaída ou recorrência da depressão; • Tratamento do transtorno do pânico, com ou sem agorafobia; • Tratamento do transtorno de ansiedade generaliza (TAG); • Tratamento do transtorno de ansiedade social (fobia social); • Tratamento do transtorno obsessivo compulsivo (TOC).",0
239,desve,succinato de desvenlafaxina monoidratado,"Comprimido Revestido de Liberação Prolongada, Antidepressivos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica",Este medicamento é indicado para o tratamento do transtorno depressivo maior (TDM). Este medicamento não é indicado para uso em nenhuma população pediátrica.,0
93,cetoprofeno-i-v,cetoprofeno,"Pó Liofilizado para Solução Injetável, Venda sob prescrição médica, Hospitalar","O cetoprofeno IV é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores decorrentes de processos reumáticos (doenças que podem afetar músculos, articulações e esqueleto), traumatismos (lesão interna ou externa resultante de um agente externo) e de dores em geral. Desta forma, o cetoprofeno IV pode ser utilizado no tratamento da dor no pré e pós-operatório e outras patologias dolorosas.",0
101,domperidona-suspensao-oral,domperidona,"Suspensão, Venda sob prescrição médica, Genéricos","PARA QUE ESTE MEDICAMENTO É INDICADO?  Este medicamento é destinado ao tratamento de: - Síndromes dispépticas frequentemente associadas a um retardo de esvaziamento gástrico, refluxo gastroesofágico e esofagite: - sensação de empachamento epigástrico, saciedade precoce, distensão abdominal, dor abdominal alta; - eructação, flatulência; - náuseas e vômitos; - azia, queimação epigástrica com ou sem regurgitação de conteúdo gástrico. - Náuseas e vômitos de origem funcional, orgânica, infecciosa ou alimentar ou induzidas por radioterapia ou tratamento medicamentoso (anti-inflamatórios, antineoplásicos). Uma indicação específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.",0
235,pisa,dicloridrato de pramipexol,"Comprimido de Liberação Prolongada, Antiparkisonianos, Retenção - só pode ser vendido com retenção de receita, Prescrição Médica","Pisa®️ (dicloridrato de pramipexol) é indicado para o tratamento dos sinais e sintomas da doença de Parkinson idiopática, podendo ser usado como monoterapia (sem levodopa) ou associado à levodopa.",0
