ativo_indicacao_contra_indicacao--all-MiniLM-L6-v2--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.068
ativo_indicacao_contra_indicacao--multi-qa-distilbert-cos-v1--hdbscan--10--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.661
ativo_indicacao_contra_indicacao--multi-qa-distilbert-cos-v1--hdbscan--12--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.661
ativo_indicacao_contra_indicacao--multi-qa-distilbert-cos-v1--hdbscan--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.661
ativo_indicacao_contra_indicacao--multi-qa-distilbert-cos-v1--hdbscan--16--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.661
ativo_indicacao_contra_indicacao--multi-qa-distilbert-cos-v1--hdbscan--18--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.661
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--8--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--10--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--12--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--16--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-mpnet-base-dot-v1--hdbscan--18--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.426
ativo_indicacao_contra_indicacao--multi-qa-MiniLM-L6-cos-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.427
ativo_indicacao_contra_indicacao--multi-qa-MiniLM-L6-dot-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.375
ativo_indicacao_contra_indicacao--multi-qa-MiniLM-L6-dot-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:71.359
ativo_indicacao_contra_indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.017
ativo_indicacao_contra_indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.45
ativo_indicacao_contra_indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--20--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.977
indicacao--all-MiniLM-L12-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.344
indicacao--all-MiniLM-L12-v2--kmeans_initauto_--20--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.712
indicacao--all-MiniLM-L12-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.701
indicacao--all-MiniLM-L6-v2--kmeans_initauto_--8--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:76.006
indicacao--all-MiniLM-L6-v2--kmeans_initauto_--11--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.71
indicacao--all-MiniLM-L6-v2--hdbscan--6--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:76.006
indicacao--all-MiniLM-L6-v2--kmeans_initauto_--11--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:71.421
indicacao--all-MiniLM-L6-v2--kmeans_initauto_--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:76.534
indicacao--all-MiniLM-L6-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:71.906
indicacao--multi-qa-MiniLM-L6-cos-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:73.092
indicacao--multi-qa-MiniLM-L6-cos-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:72.298
indicacao--multi-qa-MiniLM-L6-dot-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.623
indicacao--multi-qa-MiniLM-L6-dot-v1--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:73.342
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:71.813
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:71.927
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--20--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.032
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--23--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.813
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--11--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:73.51
indicacao--paraphrase-multilingual-mpnet-base-v2--kmeans_initauto_--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.606
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--29--{'options': {'n_neighbors': 2, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:70.142
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--8--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.848
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--11--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:72.939
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--14--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:71.295
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--17--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:71.295
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--23--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.633
indicacao--paraphrase-multilingual-MiniLM-L12-v2--hdbscan--8--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'cosine'}, 'method': <class 'umap.umap_.UMAP'>}--:70.116
indicacao--paraphrase-multilingual-MiniLM-L12-v2--kmeans_initauto_--11--{'options': {'n_neighbors': 4, 'n_components': 2, 'metric': 'euclidean'}, 'method': <class 'umap.umap_.UMAP'>}--:72.639
